ra,dec,u,g,r,i,z
161.579750124482,50.980411436258,22.14454,22.31911,21.17124,20.44008,20.04266
161.579750124482,50.980411436258,22.17299,22.31911,21.17124,20.44008,20.04266
161.57997432408,51.1208009279666,25.08363,23.69726,22.43655,22.01916,21.15579
161.580365850564,51.0654007223722,24.347,25.09775,22.96891,21.79568,21.6623
161.580464843708,51.0774424921226,24.57653,24.58168,23.86075,22.29616,22.97084
161.580481905847,51.1900992041721,24.94754,24.13423,22.5583,22.57088,21.77455
161.580483629289,51.0774347360363,24.66126,23.99308,23.53946,22.18939,22.86088
161.580525104994,51.0116007708185,23.5925,22.28591,21.32479,20.90038,21.13551
161.580719418069,50.9008323921922,19.54734,19.2967,19.20154,19.19463,19.21657
161.580728712202,50.9008374104088,19.56261,19.30496,19.20913,19.19596,19.23447
161.58091626814,50.9110958125225,23.97174,23.11538,22.3232,22.54126,21.48937
161.581033800371,51.1618771374139,23.86059,22.78562,22.20896,21.81724,21.50841
161.581033800648,51.1618771374622,23.86082,22.78576,22.20923,21.81753,21.6922
161.581225704641,51.0857269412741,24.91594,22.64445,21.81912,21.49037,22.09132
161.581233805067,51.0857225627884,25.07436,22.49696,21.74746,21.43638,21.93558
161.581437725934,51.2018174656104,24.55054,25.53684,24.57113,24.16277,21.01654
161.581501253517,51.1322394190354,23.81798,24.10867,23.5398,22.34093,22.60682
161.581543609119,51.1293958380447,24.54192,23.77159,23.05095,22.10406,22.46164
161.5818608801,51.0819409881339,25.16689,23.22992,24.5512,24.6603,23.61737
161.582083106957,51.1071484629704,23.1574,22.26123,21.3221,20.99606,20.64244
161.582180254479,51.037614764195,23.47091,23.36829,21.90538,20.83039,20.13771
161.582180254509,51.0376147642003,23.47083,23.36818,21.90527,20.83035,20.13776
161.582224834501,51.1047963306807,22.31701,21.42481,20.60011,20.27936,19.90997
161.582341488275,51.0856446104598,26.92673,22.0073,20.69067,19.90026,19.73124
161.582343607915,51.0856447893671,26.51199,23.3104,21.16463,20.3355,20.03635
161.582355658288,51.0856425354243,24.71984,22.9726,21.01516,20.15764,19.9461
161.582529909494,51.0390888935389,24.65914,23.42179,22.55202,21.4078,20.87334
161.582577963704,51.1883308995583,25.37501,24.19305,22.4791,22.17655,21.9915
161.582594063532,51.1027851091167,23.79185,23.75899,21.95111,22.00658,20.90037
161.582790184736,50.9537169379047,23.23589,23.61813,22.69957,21.78024,22.39964
161.582881520549,51.0761626831038,17.85579,16.14615,15.51919,15.3016,15.20169
161.582881520549,51.0761626831038,17.85579,16.14613,15.51916,15.30161,15.20169
161.582886975793,51.0761600869766,17.86932,16.13789,15.51869,15.30278,15.20659
161.582893635865,51.0761663926682,17.85476,16.1452,15.51783,15.30061,15.20093
161.582893874098,51.0761655232495,17.84937,16.13681,15.51694,15.29974,15.20109
161.583203114267,51.0309652166897,24.54925,23.60383,22.34297,21.50475,21.61398
161.583261751954,51.141541002609,20.78024,20.20985,19.7648,19.48902,19.52642
161.583716738908,51.0319428054175,24.23125,22.06697,20.94713,20.88571,20.42072
