#   R_nom       meanR       meanlogR        xi        sigma_xi        DD           RR           DR         npairs   
  1.1351e+01   1.1356e+01   2.4296e+00   1.1205e-02   4.7254e-04   4.6716e+06   4.4784e+06   4.5499e+06   4.6716e+06
  1.1933e+01   1.1938e+01   2.4796e+00  -3.6081e-03   4.5348e-04   5.0801e+06   4.8628e+06   4.9802e+06   5.0801e+06
  1.2544e+01   1.2550e+01   2.5296e+00   2.3379e-03   4.3314e-04   5.5172e+06   5.3301e+06   5.4174e+06   5.5172e+06
  1.3187e+01   1.3193e+01   2.5796e+00  -4.5139e-03   4.1799e-04   5.9935e+06   5.7236e+06   5.8715e+06   5.9935e+06
  1.3864e+01   1.3869e+01   2.6296e+00  -6.1427e-03   4.0079e-04   6.5113e+06   6.2253e+06   6.3874e+06   6.5113e+06
  1.4574e+01   1.4580e+01   2.6796e+00  -6.0284e-03   3.8576e-04   7.0802e+06   6.7201e+06   6.9204e+06   7.0802e+06
  1.5322e+01   1.5328e+01   2.7296e+00  -8.4532e-04   3.6979e-04   7.6721e+06   7.3130e+06   7.4957e+06   7.6721e+06
  1.6107e+01   1.6114e+01   2.7796e+00  -6.5030e-03   3.5692e-04   8.2975e+06   7.8499e+06   8.0992e+06   8.2975e+06
  1.6933e+01   1.6940e+01   2.8296e+00  -7.9066e-03   3.4406e-04   8.9681e+06   8.4476e+06   8.7413e+06   8.9681e+06
  1.7801e+01   1.7809e+01   2.8796e+00  -3.7231e-03   3.3098e-04   9.6783e+06   9.1282e+06   9.4202e+06   9.6783e+06
  1.8714e+01   1.8722e+01   2.9296e+00  -7.5349e-03   3.2022e-04   1.0438e+07   9.7524e+06   1.0132e+07   1.0438e+07
  1.9673e+01   1.9681e+01   2.9796e+00  -1.6393e-02   3.1044e-04   1.1199e+07   1.0376e+07   1.0873e+07   1.1199e+07
